author_id,Author_Name,Profile_Link
76,Maulivi Abdul Aziz,https://www.wafilife.com/cat/books/author/maulivi-abdul-aziz
77,Maulvi Abdul Aziz,https://www.wafilife.com/cat/books/author/maulvi-abdul-aziz
78,Md. Abdul Baten (Methun),https://www.wafilife.com/cat/books/author/md-abdul-baten-methun
79,Md. Abdul Hye,https://www.wafilife.com/cat/books/author/md-abdul-hye
80,Md. Abdur Razzak,https://www.wafilife.com/cat/books/author/md-abdur-razzak
81,Md. Abdur Razzak Mia,https://www.wafilife.com/cat/books/author/md-abdur-razzak-mia
82,Md. Abdus Sattar,https://www.wafilife.com/cat/books/author/md-abdus-sattar
83,Md. Abu Bokar Siddik (Razu),https://www.wafilife.com/cat/books/author/md-abu-bokar-siddik-razu
84,Md. Abu Zobaer Al - Mukul,https://www.wafilife.com/cat/books/author/md-abu-zobaer-al-mukul
85,Md. Ahsan Ullah,https://www.wafilife.com/cat/books/author/md-ahsan-ullah
86,Md. Aktar Hossain,https://www.wafilife.com/cat/books/author/md-aktar-hossain
87,Md. Al-Amin (Choton),https://www.wafilife.com/cat/books/author/md-al-amin-choton
88,Md. Amor Faruk Ripon,https://www.wafilife.com/cat/books/author/md-amor-faruk-ripon
89,Md. Asaduzzaman,https://www.wafilife.com/cat/books/author/md-asaduzzaman
90,Md. Badiuzzaman,https://www.wafilife.com/cat/books/author/md-badiuzzaman
91,Md. Benzeer Rizvee,https://www.wafilife.com/cat/books/author/md-benzeer-rizvee
92,Md. Elias Hossain,https://www.wafilife.com/cat/books/author/md-elias-hossain
93,Md. Faruk Hossain,https://www.wafilife.com/cat/books/author/md-faruk-hossain
94,Md. Fazlul Haque,https://www.wafilife.com/cat/books/author/md-fazlul-haque
95,Md. Ferdaus Rahman,https://www.wafilife.com/cat/books/author/md-ferdaus-rahman
96,Md. Golam Rabbani,https://www.wafilife.com/cat/books/author/md-golam-rabbani
97,Md. Habibur Rahman,https://www.wafilife.com/cat/books/author/md-habibur-rahman
98,Md. Hafizar Rahaman,https://www.wafilife.com/cat/books/author/md-hafizar-rahaman
99,Md. Haseeb Kabir,https://www.wafilife.com/cat/books/author/md-haseeb-kabir
100,Md. Imran Hasan,https://www.wafilife.com/cat/books/author/md-imran-hasan
101,Md. Injamamul Sarwar Shuvo,https://www.wafilife.com/cat/books/author/md-injamamul-sarwar-shuvo
102,Md. Iqbal Faruk,https://www.wafilife.com/cat/books/author/md-iqbal-faruk
103,Md. Iqbal Hossain Rony,https://www.wafilife.com/cat/books/author/md-iqbal-hossain-rony
104,Md. Jamal Hossain,https://www.wafilife.com/cat/books/author/md-jamal-hossain
105,Md. Jamal Uddin Jamy,https://www.wafilife.com/cat/books/author/md-jamal-uddin-jamy
106,Md. Kamruzzaman,https://www.wafilife.com/cat/books/author/md-kamruzzaman
107,Md. Khalilur Rahman,https://www.wafilife.com/cat/books/author/md-khalilur-rahman
108,Md. Liton Ali,https://www.wafilife.com/cat/books/author/md-liton-ali
109,Md. Majharul Islam,https://www.wafilife.com/cat/books/author/md-majharul-islam
110,Md. Maksudul Haque Khan,https://www.wafilife.com/cat/books/author/md-maksudul-haque-khan
111,Md. Masud Rana,https://www.wafilife.com/cat/books/author/md-masud-rana
112,Md. Matiul Islam,https://www.wafilife.com/cat/books/author/md-matiul-islam
113,Md. Mofijur Rahman,https://www.wafilife.com/cat/books/author/md-mofijur-rahman
114,Md. Mofizur Rahman Mahfuz,https://www.wafilife.com/cat/books/author/md-mofizur-rahman-mahfuz
