author_id,author_name,profile_link
76,Md. Badiuzzaman,https://www.wafilife.com/cat/books/author/md-badiuzzaman
77,Md. Elias Hossain,https://www.wafilife.com/cat/books/author/md-elias-hossain
78,Md. Faruk Hossain,https://www.wafilife.com/cat/books/author/md-faruk-hossain
79,Md. Fazlul Haque,https://www.wafilife.com/cat/books/author/md-fazlul-haque
80,Md. Ferdaus Rahman,https://www.wafilife.com/cat/books/author/md-ferdaus-rahman
81,Md. Golam Rabbani,https://www.wafilife.com/cat/books/author/md-golam-rabbani
82,Md. Habibur Rahman,https://www.wafilife.com/cat/books/author/md-habibur-rahman
83,Md. Hafizar Rahaman,https://www.wafilife.com/cat/books/author/md-hafizar-rahaman
84,Md. Haseeb Kabir,https://www.wafilife.com/cat/books/author/md-haseeb-kabir
85,Md. Imran Hasan,https://www.wafilife.com/cat/books/author/md-imran-hasan
86,Md. Injamamul Sarwar Shuvo,https://www.wafilife.com/cat/books/author/md-injamamul-sarwar-shuvo
87,Md. Iqbal Faruk,https://www.wafilife.com/cat/books/author/md-iqbal-faruk
88,Md. Iqbal Hossain Rony,https://www.wafilife.com/cat/books/author/md-iqbal-hossain-rony
89,Md. Jamal Hossain,https://www.wafilife.com/cat/books/author/md-jamal-hossain
90,Md. Jamal Uddin Jamy,https://www.wafilife.com/cat/books/author/md-jamal-uddin-jamy
91,Md. Kamruzzaman,https://www.wafilife.com/cat/books/author/md-kamruzzaman
92,Md. Khalilur Rahman,https://www.wafilife.com/cat/books/author/md-khalilur-rahman
93,Md. Liton Ali,https://www.wafilife.com/cat/books/author/md-liton-ali
94,Md. Majharul Islam,https://www.wafilife.com/cat/books/author/md-majharul-islam
95,Md. Maksudul Haque Khan,https://www.wafilife.com/cat/books/author/md-maksudul-haque-khan
96,Md. Masud Rana,https://www.wafilife.com/cat/books/author/md-masud-rana
97,Md. Matiul Islam,https://www.wafilife.com/cat/books/author/md-matiul-islam
98,Md. Mofijur Rahman,https://www.wafilife.com/cat/books/author/md-mofijur-rahman
99,Md. Mofizur Rahman Mahfuz,https://www.wafilife.com/cat/books/author/md-mofizur-rahman-mahfuz
100,Md. Mohidur Rahman (M.A),https://www.wafilife.com/cat/books/author/md-mohidur-rahman-m-a
